sc,model,coef,true,meanest,bias,empse,mse,modse,seerr,cover,becover
49,glm,5,0,-0.0263971775187532,-0.0263971775187532,0.242351672538274,0.0594252707297373,0.236064577133614,-2.59420343124204,0.9475,0.9486
50,cirls,1,0.7,0.400606238944293,-0.299393761055707,0.0362495780914804,0.0909505246677012,0.0392284044189505,8.21754758069919,0,0.8893
50,cirls,2,0.699999999990278,0.400606238944293,-0.299393761045986,0.0362495780914804,0.09095052466188,0.0373781199648904,3.11325519585899,0,0.7668
50,cirls,3,0.35,0.400606238944293,0.0506062389442926,0.0362495780914804,0.00387489192870599,0.0374595184748076,3.33780542293136,0.2124,0.6951
50,cirls,4,9.72155689282772e-12,0.400606238944293,0.400606238934571,0.0362495780914804,0.161799259181922,0.0381473803280446,5.23537744846272,0,0.601
50,cirls,5,0,0.400606238944293,0.400606238944293,0.0362495780914804,0.161799259189711,0.0421959251785792,16.4039070250486,0,0.4278
50,glm,1,0.7,0.69726662940115,-0.00273337059884993,0.0694831675323871,0.0048348990941074,0.0699545688405724,0.678439577420664,0.9552,0.952
50,glm,2,0.699999999990278,0.697086683289583,-0.0029133167006955,0.070253446953423,0.00494354066835509,0.071014975030694,1.08397254554051,0.9493,0.9543
50,glm,3,0.35,0.347619885956758,-0.00238011404324173,0.0833616775499579,0.0069541393098736,0.0829573997901571,-0.484968359182181,0.9444,0.9495
50,glm,4,9.72155689282772e-12,-0.00604241789672701,-0.00604241790644857,0.0985737237445983,0.00975231814913126,0.0990724538476684,0.505946294939941,0.953,0.9476
50,glm,5,0,-0.00490149110638719,-0.00490149110638719,0.104816315841709,0.0110093860356881,0.104236903396014,-0.55278840993529,0.9494,0.9494
51,cirls,1,0.6,0.354323421983503,-0.245676578016497,0.0861538619428078,0.0677787266647633,0.100844316090685,17.0514168681486,0.1063,0.9224
51,cirls,2,0.599999999991667,0.358025119296408,-0.24197488069526,0.0833663113458193,0.0655010897607065,0.0906553287544307,8.74336082638358,0.2981,0.9361
51,cirls,3,0.3,0.358121823168136,0.0581218231681357,0.083270639739616,0.0103114523710887,0.0912312129510941,9.55987997254548,0.7021,0.8773
51,cirls,4,8.33277891132411e-12,0.358211953012837,0.358211953004504,0.0832499729954507,0.135245668223244,0.0982547324288781,18.0237409016905,0.0013,0.7587
51,cirls,5,0,0.359439798155029,0.359439798155029,0.0835043998310117,0.136169255990386,0.112526897978411,34.7556514460706,0,0.5177
51,glm,1,0.6,0.591300295419197,-0.00869970458080271,0.154876817044905,0.0240601146349083,0.152806854312228,-1.33652199998198,0.9506,0.9421
51,glm,2,0.599999999991667,0.586670293854693,-0.0133297061369744,0.172764592390845,0.0300223006892346,0.172402558480768,-0.209553303178367,0.9516,0.9516
51,glm,3,0.3,0.281686044396024,-0.0183139556039763,0.185124557526835,0.0346030756591909,0.182719158256343,-1.29934099647662,0.9503,0.9377
51,glm,4,8.33277891132411e-12,-0.0475847999484045,-0.0475847999567373,0.312118834657709,0.0996727383183144,0.303655971516386,-2.71142340724299,0.9581,0.9427
51,glm,5,0,-0.0248704777932383,-0.0248704777932383,0.221838583259177,0.0498259764524006,0.218634848920201,-1.44417363828582,0.9438,0.9438
52,cirls,1,0.6,0.313644181284457,-0.286355818715543,0.0382602957202931,0.0834633587558302,0.042825079035625,11.9308626067695,0,0.9491
52,cirls,2,0.599999999991667,0.313645494723528,-0.28635450526814,0.038259528688147,0.0834625478436466,0.0393683169619449,2.89807091675303,0,0.8694
52,cirls,3,0.3,0.313645494723528,0.0136454947235276,0.038259528688147,0.00164984468253542,0.0392952284471825,2.70703742191272,0.6962,0.8036
52,cirls,4,8.33277891132411e-12,0.313645494723528,0.313645494715195,0.038259528688147,0.0998371415114249,0.0399426971776193,4.39934454810424,0,0.7188
52,cirls,5,0,0.313645494723528,0.313645494723528,0.038259528688147,0.099837141516652,0.0446769390048126,16.7733647974961,0,0.5508
52,glm,1,0.6,0.597827804650655,-0.0021721953493451,0.0807190813449515,0.0065196369687993,0.0805721565142179,-0.182019949044876,0.9461,0.9503
52,glm,2,0.599999999991667,0.596422871204948,-0.00357712878671945,0.0764024338548754,0.0058495440161155,0.0758557672932411,-0.715509354941068,0.9495,0.945
