sc,model,df,true,mean,bias,se,mse
44,glm,e,4.98972307551411,NA,NA,NA,NA
45,cirls,o,1.00516111714906,1.0077,0.00253888285094162,0.0885522114315331,0.00784715592613081
45,cirls,e,1.00516111714906,2.19008136,1.18492024285094,0.356270287007338,1.53095180647048
45,glm,o,5.05699609955534,5,-0.0569960995553425,0,0.00324855536452251
45,glm,e,5.05699609955534,NA,NA,NA,NA
46,cirls,o,1.01220687928468,1,-0.0122068792846848,0,0.000149007901870866
46,cirls,e,1.01220687928468,2.00569171,0.993484830715315,0.402395595002932,1.14891813151771
46,glm,o,5.02278355089289,5,-0.0227835508928917,0,0.000519090191288988
46,glm,e,5.02278355089289,NA,NA,NA,NA
47,cirls,o,1.01775838349959,1.0188,0.00104161650040724,0.137289638518296,0.0188476449649339
47,cirls,e,1.01775838349959,2.28364898,1.26589059650041,0.341675301961024,1.71920934007712
47,glm,o,5.08138729728057,5,-0.0813872972805676,0,0.00662389215863549
47,glm,e,5.08138729728057,NA,NA,NA,NA
48,cirls,o,1.01154980975222,1,-0.0115498097522209,0,0.000133398105312496
48,cirls,e,1.01154980975222,2.02158026,1.01003045024778,0.400177089135047,1.18028719892606
48,glm,o,5.06414414601525,5,-0.0641441460152485,0,0.00411447146802553
48,glm,e,5.06414414601525,NA,NA,NA,NA
49,cirls,o,1.03752839591643,1.0506,0.0130716040835717,0.2259308400251,0.0512105068333177
49,cirls,e,1.03752839591643,2.3510726,1.31354420408357,0.352599434837018,1.84971230489278
49,glm,o,5.10390984711034,5,-0.103909847110338,0,0.0107972563264938
49,glm,e,5.10390984711034,NA,NA,NA,NA
50,cirls,o,0.979381192047956,1,0.0206188079520444,0,0.00042513524136329
50,cirls,e,0.979381192047956,2.03978241,1.06040121795204,0.393554351080403,1.27932028178577
50,glm,o,4.97673625503515,5,0.0232637449648534,0,0.000541201829789742
50,glm,e,4.97673625503515,NA,NA,NA,NA
51,cirls,o,1.0555288231201,1.0626,0.00707117687989722,0.247966507292565,0.0615312415424668
51,cirls,e,1.0555288231201,2.45304787,1.3975190468799,0.306283246838923,2.04685953274356
51,glm,o,5.1323234006855,5,-0.1323234006855,0,0.0175094823689755
51,glm,e,5.1323234006855,NA,NA,NA,NA
52,cirls,o,0.999560720247091,1.0001,0.000539279752908572,0.01,0.000100280822651897
